Week	Slot	Lane 1	Lane 2	Lane 3	Lane 4
1	Early 1	1 v 2	3 v 4	5 v 6	7 v 8
1	Early 2	3 v 8	1 v 6	5 v 2	7 v 4
1	Late 1	9 v 10	11 v 12	13 v 14	15 v 16
1	Late 2	14 v 10	12 v 16	11 v 15	9 v 13
2	Early 1	11 v 13	9 v 15	14 v 12	10 v 16
2	Early 2	9 v 12	14 v 15	13 v 16	11 v 10
2	Late 1	3 v 6	5 v 4	1 v 8	7 v 2
2	Late 2	7 v 6	1 v 4	5 v 8	3 v 2
3	Early 1	9 v 7	5 v 11	1 v 16	3 v 14
3	Early 2	9 v 3	11 v 1	14 v 7	5 v 16
3	Late 1	10 v 4	15 v 2	6 v 12	13 v 8
3	Late 2	13 v 4	2 v 12	15 v 6	10 v 8
4	Early 1	13 v 6	10 v 2	15 v 4	8 v 12
4	Early 2	10 v 6	13 v 2	4 v 12	15 v 8
4	Late 1	3 v 16	14 v 1	9 v 5	11 v 7
4	Late 2	7 v 16	5 v 14	9 v 1	11 v 3
5	Early 1	5 v 15	10 v 7	3 v 13	1 v 12
5	Early 2	1 v 15	3 v 10	13 v 7	5 v 12
5	Late 1	14 v 8	11 v 2	6 v 16	9 v 4
5	Late 2	9 v 8	14 v 4	2 v 16	11 v 6
6	Early 1	14 v 6	8 v 16	11 v 4	9 v 2
6	Early 2	11 v 8	4 v 16	14 v 2	9 v 6
6	Late 1	5 v 10	7 v 15	3 v 12	13 v 1
6	Late 2	10 v 1	5 v 13	7 v 12	3 v 15
7	Early 1	1 v 2	7 v 8	11 v 12	13 v 14
7	Early 2	14 v 1	11 v 7	8 v 12	13 v 2
7	Late 1	15 v 16	5 v 6	9 v 10	3 v 4
7	Late 2	3 v 16	9 v 5	10 v 6	15 v 4
8	Early 1	10 v 4	5 v 16	9 v 3	15 v 6
8	Early 2	5 v 4	3 v 6	9 v 15	10 v 16
8	Late 1	14 v 7	11 v 1	13 v 8	2 v 12
8	Late 2	7 v 2	11 v 13	1 v 8	14 v 12
9	Early 1	13 v 15	10 v 12	5 v 7	3 v 1
9	Early 2	1 v 15	10 v 7	3 v 13	5 v 12
9	Late 1	4 v 2	8 v 6	9 v 11	14 v 16
9	Late 2	2 v 16	9 v 8	11 v 6	14 v 4
10	Early 1	11 v 16	4 v 8	2 v 6	9 v 14
10	Early 2	11 v 4	9 v 2	8 v 16	14 v 6
10	Late 1	5 v 1	3 v 7	13 v 10	15 v 12
10	Late 2	3 v 12	5 v 13	7 v 15	10 v 1
11	Early 1	8 v 2	10 v 15	5 v 3	11 v 14
11	Early 2	11 v 8	3 v 10	14 v 2	5 v 15
11	Late 1	9 v 16	13 v 12	1 v 7	4 v 6
11	Late 2	7 v 12	9 v 6	13 v 1	4 v 16
12	Early 1	4 v 6	9 v 16	13 v 7	1 v 12
12	Early 2	13 v 12	6 v 16	9 v 4	1 v 7
12	Late 1	5 v 3	10 v 15	11 v 14	8 v 2
12	Late 2	15 v 8	11 v 2	3 v 14	5 v 10
