Week	Slot	Lane 1	Lane 2	Lane 3	Lane 4
1	Early 1	2 v 1	11 v 15	4 v 16	14 v 8
1	Early 2	2 v 15	11 v 1	4 v 8	14 v 16
1	Late 1	9 v 5	3 v 12	6 v 7	10 v 13
1	Late 2	9 v 12	3 v 5	6 v 13	10 v 7
2	Early 1	14 v 5	7 v 4	2 v 3	9 v 10
2	Early 2	14 v 4	7 v 5	2 v 10	9 v 3
2	Late 1	13 v 16	8 v 11	12 v 6	15 v 1
2	Late 2	13 v 11	8 v 16	12 v 1	15 v 6
3	Early 1	4 v 12	10 v 6	8 v 3	16 v 1
3	Early 2	4 v 6	10 v 12	8 v 1	16 v 3
3	Late 1	7 v 2	5 v 11	14 v 15	13 v 9
3	Late 2	7 v 11	5 v 2	14 v 9	13 v 15
4	Early 1	7 v 14	2 v 15	6 v 13	11 v 9
4	Early 2	7 v 15	2 v 14	6 v 9	11 v 13
4	Late 1	8 v 12	16 v 5	1 v 10	4 v 3
4	Late 2	8 v 5	16 v 12	1 v 3	4 v 10
5	Early 1	2 v 5	1 v 16	14 v 10	8 v 13
5	Early 2	2 v 16	1 v 5	14 v 13	8 v 10
5	Late 1	3 v 9	4 v 15	12 v 7	6 v 11
5	Late 2	3 v 15	4 v 9	12 v 11	6 v 7
6	Early 1	3 v 4	9 v 11	10 v 15	12 v 5
6	Early 2	3 v 11	9 v 4	10 v 5	12 v 15
6	Late 1	6 v 1	7 v 14	13 v 16	8 v 2
6	Late 2	6 v 14	7 v 1	13 v 2	8 v 16
7	Early 1	1 v 11	7 v 13	3 v 2	6 v 12
7	Early 2	1 v 13	7 v 11	3 v 12	6 v 2
7	Late 1	10 v 14	9 v 16	4 v 5	15 v 8
7	Late 2	10 v 16	9 v 14	4 v 8	15 v 5
8	Early 1	9 v 15	14 v 8	16 v 12	5 v 6
8	Early 2	9 v 8	14 v 15	16 v 6	5 v 12
8	Late 1	1 v 4	13 v 3	11 v 10	7 v 2
8	Late 2	1 v 3	13 v 4	11 v 2	7 v 10
9	Early 1	7 v 9	10 v 13	15 v 16	4 v 1
9	Early 2	7 v 13	10 v 9	15 v 1	4 v 16
9	Late 1	5 v 3	6 v 8	11 v 2	12 v 14
9	Late 2	5 v 8	6 v 3	11 v 14	12 v 2
10	Early 1	11 v 4	12 v 6	5 v 14	3 v 13
10	Early 2	11 v 6	12 v 4	5 v 13	3 v 14
10	Late 1	15 v 16	2 v 10	8 v 7	1 v 9
10	Late 2	15 v 10	2 v 16	8 v 9	1 v 7
11	Early 1	10 v 8	15 v 6	7 v 16	11 v 3
11	Early 2	10 v 6	15 v 8	7 v 3	11 v 16
11	Late 1	13 v 12	1 v 14	5 v 9	2 v 4
11	Late 2	13 v 14	1 v 12	5 v 4	2 v 9
12	Early 1	12 v 8	13 v 2	9 v 7	5 v 1
12	Early 2	12 v 2	13 v 8	9 v 1	5 v 7
12	Late 1	16 v 6	3 v 10	15 v 4	14 v 11
12	Late 2	16 v 10	3 v 6	15 v 11	14 v 4
