Week	Slot	Lane 1	Lane 2	Lane 3	Lane 4
1	Early 1	8 v 14	12 v 11	3 v 5	15 v 10
1	Early 2	8 v 11	12 v 14	3 v 10	15 v 5
1	Late 1	13 v 3	9 v 4	16 v 1	2 v 6
1	Late 2	13 v 4	9 v 3	16 v 6	2 v 1
2	Early 1	9 v 11	7 v 14	2 v 13	6 v 8
2	Early 2	9 v 14	7 v 11	2 v 8	6 v 13
2	Late 1	10 v 2	15 v 1	7 v 5	12 v 10
2	Late 2	10 v 1	15 v 2	7 v 10	12 v 5
3	Early 1	1 v 14	6 v 5	15 v 12	16 v 11
3	Early 2	1 v 5	6 v 14	15 v 11	16 v 12
3	Late 1	10 v 8	16 v 4	13 v 11	3 v 9
3	Late 2	10 v 4	16 v 8	13 v 9	3 v 11
4	Early 1	4 v 2	11 v 1	5 v 10	9 v 16
4	Early 2	4 v 1	11 v 2	5 v 16	9 v 10
4	Late 1	15 v 13	12 v 7	4 v 14	3 v 6
4	Late 2	15 v 7	12 v 13	4 v 6	3 v 14
5	Early 1	7 v 13	10 v 6	3 v 15	8 v 4
5	Early 2	7 v 6	10 v 13	3 v 4	8 v 15
5	Late 1	11 v 16	14 v 5	12 v 2	7 v 1
5	Late 2	11 v 5	14 v 16	12 v 1	7 v 2
6	Early 1	9 v 5	4 v 15	8 v 12	4 v 7
6	Early 2	9 v 15	4 v 5	8 v 7	4 v 12
6	Late 1	6 v 3	2 v 9	1 v 8	13 v 16
6	Late 2	6 v 9	2 v 3	1 v 16	13 v 8
7	Early 1	2 v 7	3 v 16	14 v 13	1 v 10
7	Early 2	2 v 16	3 v 7	14 v 10	1 v 13
7	Late 1	12 v 9	8 v 5	6 v 11	14 v 15
7	Late 2	12 v 5	8 v 9	6 v 15	14 v 11
8	Early 1	12 v 6	1 v 3	1 v 1	1 v 1
8	Early 2	12 v 3	1 v 6	1 v 1	1 v 1
8	Late 1	16 v 10	13 v 15	1 v 4	1 v 1
8	Late 2	16 v 15	13 v 10	1 v 1	1 v 4
9	Early 1	1 v 1	1 v 1	1 v 1	1 v 1
9	Early 2	1 v 1	1 v 1	1 v 1	1 v 1
9	Late 1	1 v 1	1 v 1	1 v 1	1 v 1
9	Late 2	1 v 1	1 v 1	1 v 1	1 v 1
10	Early 1	1 v 1	1 v 1	1 v 1	1 v 1
10	Early 2	1 v 1	1 v 1	1 v 1	1 v 1
10	Late 1	1 v 1	1 v 1	1 v 1	1 v 1
10	Late 2	1 v 1	1 v 1	1 v 1	1 v 1
11	Early 1	1 v 1	1 v 1	1 v 1	1 v 1
11	Early 2	1 v 1	1 v 1	1 v 1	1 v 1
11	Late 1	1 v 1	1 v 1	1 v 1	1 v 1
11	Late 2	1 v 1	1 v 1	1 v 1	1 v 1
12	Early 1	1 v 1	1 v 1	1 v 1	1 v 1
12	Early 2	1 v 1	1 v 1	1 v 1	1 v 1
12	Late 1	1 v 1	1 v 1	1 v 1	1 v 1
12	Late 2	1 v 1	1 v 1	1 v 1	1 v 1
