			30-Apr						7-May						14-May						21-May						28-May						4-Jun						11-Jun						18-Jun						25-Jun						2-Jul	
7:00						7:00						7:00						7:00						7:00						7:00						7:00						7:00						7:00						7:00				
Lane 5	I Can't Believe Its Not Gutter		Gutter Sluts			Lane 5	I Can't Believe Its Not Gutter		2 Legit 2 Split			Lane 5	Gutter Sluts		The Bowled and the Beautiful			Lane 5	Pin Pals		WHO DO YOU THINK YOU ARE I AM			Lane 5	Gutter Sluts		Pin Pals			Lane 5	2 Legit 2 Split		Bowls on Parade			Lane 5	The Bowled and the Beautiful		Pin Pals			Lane 5	2 Legit 2 Split		Glory Bowl			Lane 5	Blame It On The Lane		Gutter Sluts			Lane 5	Bowlt Thrower		Butt	
Lane 6	Bowls on Parade		The Bowled and the Beautiful			Lane 6	Feeld and Stream		Bowlt Thrower			Lane 6	Butt		2 Legit 2 Split			Lane 6	The Bowled and the Beautiful		Feeld and Stream			Lane 6	WHO DO YOU THINK YOU ARE I AM		Bowlt Thrower			Lane 6	Blame It On The Lane		Pin Pals			Lane 6	2 Legit 2 Split		Butt			Lane 6	Bowlt Thrower		Gutter Sluts			Lane 6	2 Legit 2 Split		WHO DO YOU THINK YOU ARE I AM			Lane 6	Feeld and Stream		Bowls on Parade	
Lane 7	Blame It On The Lane		WHO DO YOU THINK YOU ARE I AM			Lane 7	Glory Bowl		Pin Pals			Lane 7	WHO DO YOU THINK YOU ARE I AM		Glory Bowl			Lane 7	Bowlt Thrower		Blame It On The Lane			Lane 7	2 Legit 2 Split		I Can't Believe Its Not Gutter			Lane 7	Glory Bowl		Bowlt Thrower			Lane 7	I Can't Believe Its Not Gutter		Blame It On The Lane			Lane 7	Pin Pals		Feeld and Stream			Lane 7	Bowls on Parade		Butt			Lane 7	Pin Pals		Blame It On The Lane	
Lane 8	Butt		Bowlt Thrower			Lane 8	Gutter Sluts		The Bowled and the Beautiful			Lane 8	Feeld and Stream		I Can't Believe Its Not Gutter			Lane 8	Bowls on Parade		Gutter Sluts			Lane 8	Glory Bowl		Butt			Lane 8	I Can't Believe Its Not Gutter		Gutter Sluts			Lane 8	WHO DO YOU THINK YOU ARE I AM		Bowls on Parade			Lane 8	The Bowled and the Beautiful		WHO DO YOU THINK YOU ARE I AM			Lane 8	Feeld and Stream		Glory Bowl			Lane 8	The Bowled and the Beautiful		I Can't Believe Its Not Gutter	
																																																										
7:45						7:45						7:45						7:45						7:45						7:45						7:45						7:45						7:45						7:45				
Lane 5	Bowlt Thrower		Glory Bowl			Lane 5	I Can't Believe Its Not Gutter		Glory Bowl			Lane 5	Glory Bowl		Bowls on Parade			Lane 5	Gutter Sluts		The Bowled and the Beautiful			Lane 5	Feeld and Stream		Blame It On The Lane			Lane 5	Bowlt Thrower		2 Legit 2 Split			Lane 5	Glory Bowl		WHO DO YOU THINK YOU ARE I AM			Lane 5	2 Legit 2 Split		Pin Pals			Lane 5	Pin Pals		Butt			Lane 5	Blame It On The Lane		The Bowled and the Beautiful	
Lane 6	Gutter Sluts		Butt			Lane 6	2 Legit 2 Split		Pin Pals			Lane 6	2 Legit 2 Split		Gutter Sluts			Lane 6	WHO DO YOU THINK YOU ARE I AM		Pin Pals			Lane 6	Bowlt Thrower		The Bowled and the Beautiful			Lane 6	Bowls on Parade		Pin Pals			Lane 6	Pin Pals		Bowlt Thrower			Lane 6	Glory Bowl		Feeld and Stream			Lane 6	Bowlt Thrower		WHO DO YOU THINK YOU ARE I AM			Lane 6	Butt		I Can't Believe Its Not Gutter	
